time,detailLength,detailHex,instance
03:34:36.976,control,brightness=90,
03:34:37.575,control,brightness=100,
03:36:04.857,32,02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:36:05.746,32,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:36:06.489,32,01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:36:07.376,32,02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:36:08.173,32,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:36:08.960,32,01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:36:20.134,32,02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:36:22.963,32,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
