time        CPU øC  GPU øC  CPU RPM  GPU RPM
--------------------------------------------
22:26:18        57      55     3993     3593
22:26:19        57      55     4000     3581
22:26:20        57      55     4000     3623
22:26:21        57      55     3993     3593
22:26:22        57      55     4000     3581
22:26:23        57      55     3985     3581
22:26:24        57      55     3985     3599
22:26:25        57      55     4000     3611
22:26:26        57      55     3993     3599
22:26:27        57      55     4000     3599
22:26:28        57      55     3993     3611
22:26:29        57      55     3985     3593
22:26:31        57      55     4015     3605
22:26:32        57      55     4015     3599
22:26:33        57      55     4000     3581
22:26:34        57      55     3993     3581
22:26:35        57      55     4000     3599
22:26:36        57      55     4000     3611
22:26:37        57      55     3985     3599
22:26:38        57      55     3985     3593
22:26:39        57      55     4037     3587
22:26:40        57      55     4022     3617
22:26:41        57      55     4015     3605
22:26:42        57      55     4000     3593
22:26:43        56      55     4000     3623
22:26:44        56      55     3978     3593
22:26:45        56      55     4000     3593
22:26:46        56      55     4000     3593
22:26:47        56      55     4007     3581
22:26:48        56      55     3985     3593
22:26:49        56      55     3993     3617
22:26:50        56      55     3993     3611
22:26:51        56      55     4000     3611
22:26:52        56      55     4015     3611
22:26:53        56      55     4000     3581
22:26:54        56      55     3993     3581
22:26:55        56      55     4015     3611
22:26:56        56      55     4000     3611
22:26:57        56      55     3993     3581
22:26:58        56      55     4015     3599
22:26:59        57      55     4000     3611
22:27:00        57      55     3993     3611
22:27:01        57      55     4000     3581
22:27:02        57      55     3985     3587
22:27:03        57      55     3993     3623
22:27:04        57      55     4000     3623
22:27:05        57      55     4015     3605
22:27:06        57      55     4000     3599
22:27:07        57      55     4000     3611
22:27:08        57      55     4000     3599
22:27:09        57      55     4000     3605
22:27:10        57      55     4000     3581
22:27:11        57      55     4022     3593
22:27:12        57      55     3985     3593
22:27:13        57      55     4000     3593
22:27:14        57      55     3993     3617
22:27:15        55      55     4000     3611
22:27:16        55      55     3850     3428
22:27:17        55      55     3569     3297
22:27:18        55      55     3593     3307
22:27:19        55      55     3611     3307
22:27:20        55      55     3611     3307
22:27:21        55      55     3593     3291
22:27:22        55      55     3605     3312
22:27:23        55      55     3593     3281
22:27:24        55      55     3593     3307
22:27:25        55      55     3593     3297
22:27:26        55      55     3581     3312
22:27:27        55      55     3581     3281
22:27:28        55      55     3593     3307
22:27:29        55      55     3611     3297
22:27:30        55      55     3599     3307
22:27:31        56      55     3605     3307
22:27:32        56      55     3581     3297
22:27:33        56      55     3593     3307
22:27:34        56      55     3611     3302
22:27:35        56      55     3587     3291
22:27:36        56      55     3581     3307
22:27:37        56      55     3581     3307
22:27:38        56      55     3581     3297
22:27:39        56      55     3581     3307
22:27:41        56      55     3581     3291
22:27:42        56      55     3593     3297
22:27:43        56      55     3599     3297
22:27:44        56      55     3593     3307
22:27:45        56      55     3593     3281
22:27:46        56      55     3593     3302
22:27:47        56      55     3593     3302
22:27:48        54      55     3593     3307
22:27:49        54      55     3605     3302
22:27:50        54      55     3623     3307
22:27:51        54      55     3605     3317
22:27:52        54      55     3611     3297
22:27:53        54      55     3605     3307
22:27:54        54      55     3611     3307
22:27:55        54      55     3605     3281
22:27:56        54      55     3599     3302
22:27:57        54      55     3593     3317
22:27:58        54      55     3623     3317
22:27:59        54      55     3617     3291
22:28:00        54      55     3611     3312
22:28:01        54      55     3575     3307
22:28:02        54      52     3599     3281
22:28:03        54      52     3599     3302
22:28:04        54      50     3599     3302
22:28:05        54      50     3605     3281
22:28:06        54      50     3599     3307
22:28:07        54      51     3605     3317
22:28:08        54      51     3593     3307
22:28:09        54      51     3605     3307
22:28:10        54      51     3623     3297
22:28:11        54      51     3593     3297
22:28:12        54      51     3611     3312
22:28:13        54      51     3599     3307
22:28:14        54      51     3611     3307
22:28:15        54      51     3605     3312
22:28:16        54      51     3605     3312
22:28:17        54      51     3593     3317
22:28:18        54      51     3617     3297
22:28:19        54      51     3623     3327
22:28:20        66      51     3617     3291
22:28:21        66      51     3704     3411
22:28:22        66      50     3978     3692
22:28:23        66      51     4261     3970
22:28:24        66      51     4568     4091
22:28:25        66      51     4728     4091
22:28:26        66      51     4677     4099
22:28:27        66      51     4707     4091
22:28:28        66      51     4697     4114
22:28:29        66      51     4687     4091
22:28:30        66      51     4697     4091
22:28:31        66      51     4677     4091
22:28:32        66      51     4728     4107
22:28:33        66      51     4697     4107
22:28:34        66      51     4707     4107
22:28:35        66      51     4707     4114
22:28:36        61      51     4728     4091
22:28:37        61      51     4587     4007
22:28:38        61      51     4356     3763
22:28:39        61      51     4400     3823
22:28:40        61      51     4373     3796
22:28:41        61      51     4373     3829
22:28:42        61      51     4373     3809
22:28:43        61      51     4400     3802
22:28:44        61      51     4400     3816
22:28:45        61      51     4409     3802
22:28:46        61      51     4400     3782
22:28:47        61      51     4400     3769
22:28:48        61      51     4409     3796
22:28:49        61      51     4400     3809
22:28:50        61      51     4409     3796
22:28:51        61      51     4400     3769
22:28:52        61      51     4427     3782
22:28:53        61      51     4400     3802
22:28:55        61      51     4409     3796
22:28:56        61      51     4409     3796
22:28:57        61      51     4391     3789
22:28:58        61      51     4400     3796
22:28:59        61      51     4409     3796
22:29:00        61      51     4418     3809
22:29:01        61      51     4418     3823
22:29:02        61      51     4400     3816
22:29:03        61      51     4391     3796
22:29:04        61      51     4382     3782
22:29:05        61      51     4391     3796
22:29:06        61      51     4400     3796
22:29:07        61      51     4382     3816
22:29:08        61      51     4400     3809
22:29:09        53      50     4409     3816
22:29:10        53      50     4203     3648
22:29:11        53      50     3934     3374
22:29:12        53      50     3648     3297
22:29:13        53      50     3623     3297
22:29:14        53      50     3623     3297
22:29:15        53      50     3593     3307
22:29:16        53      50     3581     3317
22:29:17        53      50     3611     3297
22:29:18        53      50     3593     3286
22:29:19        53      50     3593     3307
22:29:20        53      50     3593     3307
22:29:21        53      50     3617     3307
22:29:22        53      50     3605     3307
22:29:23        53      50     3593     3286
22:29:24        53      50     3605     3286
22:29:25        53      50     3593     3307
22:29:26        53      50     3617     3307
22:29:27        53      50     3593     3281
22:29:28        53      50     3623     3281
22:29:29        53      50     3605     3307
22:29:30        53      50     3605     3307
22:29:31        53      50     3611     3281
22:29:32        53      50     3611     3272
