time        CPU °C  GPU °C  CPU RPM  GPU RPM
--------------------------------------------
21:42:37        62      60     4400     3829
21:42:38        62      60     4400     3816
21:42:39        62      60     4418     3802
21:42:40        62      60     4382     3782
21:42:41        62      60     4400     3782
21:42:42        62      60     4400     3776
21:42:44        62      60     4400     3789
21:42:45        62      61     4391     3782
21:42:46        62      61     4400     3789
21:42:47        62      61     4382     3802
21:42:48        62      61     4400     3769
21:42:49        62      61     4400     3782
21:42:50        62      61     4373     3809
21:42:51        65      61     4400     3789
21:42:52        65      61     4529     3878
21:42:53        65      61     4697     4138
21:42:54        65      61     4707     4114
21:42:55        65      61     4728     4114
21:42:56        65      61     4697     4114
21:42:57        65      61     4707     4099
21:42:58        65      61     4687     4099
21:42:59        65      61     4697     4122
21:43:00        65      61     4707     4099
21:43:01        65      61     4677     4099
21:43:02        65      61     4697     4091
21:43:03        65      61     4707     4107
21:43:04        65      61     4697     4091
21:43:05        65      61     4697     4130
21:43:06        65      61     4677     4107
21:43:07        64      61     4728     4099
21:43:08        64      61     4677     4099
21:43:09        64      61     4687     4091
21:43:10        64      61     4687     4114
21:43:11        64      61     4687     4099
21:43:12        64      61     4707     4091
21:43:13        64      61     4697     4114
21:43:14        64      61     4707     4099
21:43:15        64      61     4677     4114
21:43:16        64      61     4707     4114
21:43:17        64      61     4687     4114
21:43:18        64      61     4707     4130
21:43:19        64      61     4687     4091
21:43:20        64      61     4687     4091
21:43:21        64      61     4697     4099
21:43:22        64      61     4728     4114
21:43:23        63      61     4707     4114
21:43:24        63      61     4728     4114
21:43:25        63      61     4697     4083
21:43:26        63      61     4657     4099
21:43:27        63      61     4687     4107
21:43:28        63      61     4697     4107
21:43:29        63      61     4707     4091
21:43:30        63      61     4718     4099
21:43:31        63      61     4707     4083
21:43:32        63      61     4707     4099
21:43:33        63      61     4707     4130
21:43:34        63      61     4707     4130
21:43:35        63      61     4707     4122
21:43:36        63      61     4687     4114
21:43:37        63      61     4697     4114
21:43:38        63      61     4667     4091
21:43:39        63      61     4707     4099
21:43:40        63      61     4697     4114
21:43:41        63      61     4697     4114
21:43:42        63      61     4687     4099
21:43:43        63      61     4677     4076
21:43:44        63      61     4707     4099
21:43:45        63      61     4687     4114
21:43:46        63      61     4707     4099
21:43:47        63      61     4687     4130
21:43:48        63      61     4657     4099
21:43:49        63      61     4697     4130
21:43:50        63      61     4707     4091
21:43:51        63      61     4697     4091
21:43:52        63      61     4718     4114
21:43:53        63      61     4697     4130
21:43:55        63      60     4677     4099
21:43:56        61      60     4687     4099
21:43:57        61      60     4617     4083
21:43:58        61      60     4356     3836
21:43:59        61      60     4445     3829
21:44:00        61      60     4418     3816
21:44:01        61      60     4400     3782
21:44:02        61      60     4382     3796
21:44:03        61      60     4400     3802
21:44:04        61      60     4400     3782
21:44:05        61      60     4391     3769
21:44:06        61      60     4382     3776
21:44:07        61      60     4391     3816
21:44:08        61      60     4400     3816
21:44:09        61      60     4382     3816
21:44:10        61      60     4400     3816
21:44:11        61      60     4400     3816
21:44:12        61      60     4391     3782
21:44:13        61      60     4400     3802
21:44:14        61      60     4364     3782
21:44:15        61      60     4400     3809
21:44:16        61      60     4382     3796
21:44:17        61      60     4400     3789
21:44:18        61      60     4391     3802
21:44:19        61      60     4391     3782
21:44:20        61      60     4400     3763
21:44:21        61      60     4400     3796
21:44:22        61      60     4382     3796
21:44:23        61      60     4400     3816
21:44:24        61      60     4400     3809
21:44:25        61      60     4427     3816
21:44:26        61      60     4418     3796
21:44:27        61      60     4382     3782
21:44:28        61      60     4400     3789
21:44:29        61      60     4418     3776
21:44:30        61      60     4382     3796
21:44:31        61      60     4391     3782
21:44:32        61      60     4409     3796
21:44:33        61      60     4382     3816
21:44:34        61      60     4382     3829
21:44:35        61      60     4364     3796
21:44:36        61      60     4382     3789
21:44:37        61      60     4418     3796
21:44:38        61      60     4382     3816
21:44:39        61      60     4391     3802
21:44:40        61      60     4409     3829
21:44:41        61      60     4391     3816
21:44:42        61      60     4400     3789
21:44:43        61      60     4400     3796
21:44:44        61      60     4409     3802
21:44:45        61      60     4400     3782
21:44:46        61      60     4382     3802
21:44:47        61      60     4382     3802
21:44:48        61      60     4364     3816
21:44:49        61      60     4400     3802
21:44:50        61      60     4382     3802
21:44:51        61      60     4400     3789
21:44:52        61      60     4391     3789
21:44:53        61      60     4391     3769
21:44:54        61      60     4400     3782
21:44:55        61      60     4400     3782
21:44:56        61      60     4418     3796
21:44:57        61      60     4427     3796
21:44:58        61      60     4400     3782
21:44:59        61      60     4400     3782
21:45:00        61      60     4418     3769
