"Guid","Name","Size","Hash","Preview"
"{01368881-C4AD-4B1D-B631-D57A8EC8DB6B}","MonotonicCounter","4","2113CE85FE34509D","CA-02-00-00"
"{01368881-C4AD-4B1D-B631-D57A8EC8DB6B}","OA3MSDMvariable","24","A6B79CACB6B79942",""
"{0A602C5B-05A0-40C4-9181-EDCD891D0013}","GNVS_PTR","4","06CC3492691218EA","18-60-E4-42"
"{0AC01F7B-0E2D-4CE6-8AC3-825EB6647AD9}","LgPreserveSetupData","11","19698D83097D59F2","01-01-01-01-01-00-01-00-01-01-02"
"{0C923CA9-DF73-4AC8-B6D2-98DDC30D99FC}","DefaultUefiDevOrder","20","724783B3630FFBE5",""
"{0C923CA9-DF73-4AC8-B6D2-98DDC30D99FC}","OldBootOrder","4","6B1E73A0094B7B81","00-00-01-00"
"{0C923CA9-DF73-4AC8-B6D2-98DDC30D99FC}","OriUefiDevOrder","20","724783B3630FFBE5",""
"{0C923CA9-DF73-4AC8-B6D2-98DDC30D99FC}","UefiDevOrder","20","724783B3630FFBE5",""
"{0EE72C08-8185-427A-A58A-855B78B7BA0B}","DevFwUpdateFlag","1","4BF5122F344554C5","01"
"{1B838190-4625-4EAD-ABC9-CD5E6AF18FE0}","HiiDB","8","472D7AE346D3694A","DB-11-01-00-00-20-BC-43"
"{1C3483D5-1E7E-4450-9806-DEDE002C974B}","TpvSetup","11","A9AF73563FFA2F11","00-02-00-00-40-E9-42-00-00-00-00"
"{42780DD5-9A7D-404C-80E4-7F7094360394}","BRDS","8","AF5570F5A1810B7A","00-00-00-00-00-00-00-00"
"{42780DD5-9A7D-404C-80E4-7F7094360394}","GPC","13","DD46C3EEBB1884FF","00-00-00-00-00-00-00-00-00-00-00-00-00"
"{42780DD5-9A7D-404C-80E4-7F7094360394}","SADS","2","FCF0A6C700DD13E2","00-02"
"{4B3082A3-80C6-4D7E-9CD0-583917265DF1}","MaximumTableSize","2","494DA3134CA6E584","C8-21"
"{4B3082A3-80C6-4D7E-9CD0-583917265DF1}","SmbiosEntryPointTable","8","FCF8D6A6FF1C889A","00-60-B3-43-00-00-00-00"
"{4B3082A3-80C6-4D7E-9CD0-583917265DF1}","SmbiosEntryPointTableF000","8","AF5570F5A1810B7A","00-00-00-00-00-00-00-00"
"{4B3082A3-80C6-4D7E-9CD0-583917265DF1}","SmbiosScratchBuffer","8","09B3706672E53A3D","18-D0-65-43-00-00-00-00"
"{4B3082A3-80C6-4D7E-9CD0-583917265DF1}","SmbiosV3EntryPointTable","8","C09DEC42D169C37D","00-50-B3-43-00-00-00-00"
"{4B3082A3-80C6-4D7E-9CD0-583917265DF1}","WriteOnceStatus","64","E0205519F6BCDE42",""
"{5BD6B672-B6EA-4D6A-B590-18A932B78794}","BootMediaInfo","12","CA888F40C3CACA80","01-00-00-00-00-00-00-00-00-00-00-00"
"{616E2EA6-AF89-7EB3-F2EF-4E47368A657B}","AUTOPILOT_MARKER","39","404F552EEFA0B905",""
"{61A14FE8-4DAB-4A19-B1E3-97FB23D09212}","IntelVmdOsVariable","64","F5A5FD42D16A2030",""
"{6E4F7C6E-FB26-4510-BC25-7D4C28F79082}","LGFIRSTBOOT","1","4BF5122F344554C5","01"
"{77FA9ABD-0359-4D32-BD60-28F4E78F784B}","CurrentPolicy","1","DBC1B4C900FFE48D","02"
"{7A09BC55-83E8-4D4D-93B0-89D80EEDB720}","PCIEPowerControl","4","8432386E2C3B0E40","35-00-00-00"
"{7B59104A-C00D-4158-87FF-F04D6396A915}","AuthVarPreBootPhase","1","6E340B9CFFB37A98","00"
"{7D3DCEEE-CBCE-4EA7-8709-6E552F1EDBDE}","SIDSUPPORT","1","4BF5122F344554C5","01"
"{7D3DCEEE-CBCE-4EA7-8709-6E552F1EDBDE}","TPMPERBIOSFLAGS","6","008795A0BDABC5DE","01-01-00-00-78-00"
"{7D3DCEEE-CBCE-4EA7-8709-6E552F1EDBDE}","TpmServFlags","8","7B3344AD03D954DB","18-AF-F4-42-00-00-00-00"
"{81C76078-BFDE-4368-9790-570914C01A65}","AmiHardwareSignatureSetupUpdateCountVar","4","44B34BA1E158565C","15-00-00-00"
"{8BE4DF61-93CA-11D2-AA0D-00E098032B8C}","AuditMode","1","6E340B9CFFB37A98","00"
"{8BE4DF61-93CA-11D2-AA0D-00E098032B8C}","Boot0000","300","505AB2CE051546E2",""
"{8BE4DF61-93CA-11D2-AA0D-00E098032B8C}","Boot0001","250","F3C9FD817A7AB14C",""
"{8BE4DF61-93CA-11D2-AA0D-00E098032B8C}","BootCurrent","2","96A296D224F285C6","00-00"
"{8BE4DF61-93CA-11D2-AA0D-00E098032B8C}","BootOptionSupport","4","C9058274E3E7ADEF","13-03-00-00"
"{8BE4DF61-93CA-11D2-AA0D-00E098032B8C}","BootOrder","4","6B1E73A0094B7B81","00-00-01-00"
"{8BE4DF61-93CA-11D2-AA0D-00E098032B8C}","ConIn","62","BEF91A7B94FE96C7",""
